Unknown_Words,Closest_Match
reaolve,reabsolve
whastapo,whata
ndpl,underply
elwhy,why
qith,quitch
believes,believe
becoz,coz
imposed,impose
kiske,kike
points,point
basked,based
panchsheel,spancel
earned,learned
konse,onset
complaimt,complaint
feol,feodal
befroe,befret
minuts,minus
kere,skere
hawa,haw
tkb,tub
abale,bale
brwwrh,burrah
propplye,popply
likhi,lithi
banaen,banyan
batayenge,boatage
kanhaiya,kehaya
oct,ocht
todays,today
payablebill,payable
aarha,artha
dekhaya,kehaya
humhe,humph
kiska,kiswa
progressing,progression
hmne,hymner
alg,alga
dhmki,moki
jun,junt
mili,mil
anisha,vanish
khatoon,khahoon
bipin,lipin
vinay,viny
jarurat,jurat
bse,bose
veh,eh
sakthe,swathe
ajay,jay
kalpana,kalipaya
awasthi,awash
depsoit,deposit
bael,batel
overlapping,overlipping
surajmal,subrameal
hom,whom
karunga,kanga
dusib,dusio
electricy,electric
kamarsal,marshal
pichhe,pinche
batao,patao
jha,ha
gharelu,harmel
dobara,dobra
aayega,yerga
dege,deg
unke,unkey
tahipur,thir
gagan,gagman
resloved,resolved
domistic,domitic
tourtring,torturing
cowdung,cowhiding
complaince,complaisance
nmber,number
kahani,Nahani
choro,choryos
slo,solo
conveyed,unconveyed
reverfication,reverification
prenises,preses
rejectedforwhichwesubmittedtheexitingmeterremovalundertakingtothedivision,
laod,lod
dusri,dusio
bolun,boun
paresan,pasan
affairs,affair
addess,laddess
karbala,karela
bans,banns
arising,rising
rquesting,queesting
owners,owner
kotla,kola
flor,fluor
bne,bone
chlte,cholate
rakhe,rakh
karyvahi,avahi
aut,taut
roki,roi
miscellanding,miscellanarian
manth,math
lagatar,legatary
headcop,headcap
navratri,narratrix
amishra,misura
paani,paganic
chalani,chalana
yamunapower,unpower
narayani,Carayan
kranti,rant
parsad,parado
rajnish,rankish
rathore,rathole
opens,open
mukherjee,usherette
asks,askos
rejeact,reject
khambe,hamble
jhund,hundi
faki,fakir
hogya,hoga
jldi,soldi
krae,kra
rajksinghindia,Tanghinia
demolished,undemolished
paved,pave
ablock,gablock
occurring,unoccurring
generat,generate
achanak,chank
dairect,direct
truecaller,truller
scammer,sammer
problme,problem
cs,cos
ns,ons
isuue,issue
reloved,relove
defeciency,deficiency
exists,exist
ummed,summed
kami,kamik
btate,tate
ghush,ghrush
jayeda,jaseyed
vjha,vijao
khuleaam,khula
ghuskhori,husho
lagwane,lagan
bhatkate,hastate
hoke,thoke
dunga,dung
rquest,request
adddress,address
outlining,footlining
privatisation,reprivatization
improved,improve
dipawali,dikamali
credentials,credential
hudge,huge
rajan,raja
pashan,pasha
thieves,thieve
jahan,yahan
fas,fast
girne,girn
qun,quin
jagenge,sagene
milegi,midleg
represents,represent
slangs,slang
mhine,mine
paarha,para
krrha,kra
uspar,unspar
jaarha,jara
kisrpiya,kisra
msgs,muss
vashudhra,Vasundhara
seemapuri,semiputrid
sagar,sangar
elelctricity,electricity
sd,sud
sld,suld
completing,completion
chlqo,chlor
buzurg,burg
lqdy,lady
kq,q
icu,ichu
genrated,gerated
fyr,fyrd
communicated,communicate
ramnagar,amaga
listings,listing
ashram,shram
fraudsters,roadster
comers,comes
emcd,emyd
madem,made
redident,redient
vibhag,bhang
comercial,commercial
demund,demand
karein,kadein
dcshahsouth,chauth
delhijalboard,teaboard
cvcindia,accidia
bhagwati,bhagavat
esmart,smart
madhuban,mahuang
kamran,amhran
diwali,dialin
beses,bees
duj,dujan
khatm,khat
karva,kava
lijiye,linje
jaiye,jay
aakar,takar
vishnu,Vishnu
dutt,putt
teliyan,telyn
tilak,tilaka
impaired,unimpaired
encl,pencil
awaaz,awa
hazara,hazard
baaki,banak
rahein,rhein
raji,raj
usper,user
bgel,bagel
gher,her
senction,sencion
appliedbfor,applier
paliwal,pallial
butvstill,unstill
tommorow,tomorrow
festiwal,festival
morr,mor
didn,didnt
bjp,jap
ll,ull
doesn,doesnt
dn,dun
isn,hisn
basisi,basis
commuters,commuter
nirbey,tibey
grahp,grasp
surfing,surfacing
hoping,hooping
firoz,froze
chok,chowk
tje,te
generates,generate
thefts,theft
karkarduma,tartarum
murti,muriti
tohar,thar
andera,Panderma
fiya,fiat
autmeri,uteri
kaushal,kusha
deepawali,deeplier
patwal,pratal
aaaj,waapa
toda,today
andere,wanderer
manau,mana
galti,galt
kamjor,amor
tumhre,tume
reder,render
kisko,kiosk
dosi,dosis
kehe,kechel
surcharges,surcharge
waseem,wase
bsee,besee
closes,close
steals,steal
caters,cater
guides,guide
parvin,parvolin
reaches,reachless
sponse,response
sirji,sirki
guiese,guise
frod,frond
cheter,chester
pleaase,please
products,product
encluded,secluded
andfuetuate,adequate
merer,merger
appl,apply
urmila,uremia
technicians,technician
lagwa,plaga
december,December
falls,fall
hampering,hammering
tiles,tile
bawjud,bawd
kage,age
accha,Saccha
woh,wo
abhee,albee
cfr,fur
naseema,nausea
sarfaraz,farfara
completly,completely
areamy,reamy
stretches,stretcher
pushta,push
docomets,dooms
reather,wreather
statment,statement
eg,teg
smc,sumac
aadhaar,adhaka
privious,previous
cpmgdelhi,pimelic
cityspzone,cityscape
shahjanabad,toshakhana
ght,ghat
ss,ssu
aabi,awabi
parkash,parkish
garg,gar
pusa,pus
chura,chuhra
crimes,crime
jankari,jangkar
options,option
sukoon,soon
rahne,rane
breathinh,breathing
looped,unlooped
verifiction,verification
nagaa,nagara
khilwal,khilat
aise,waise
attending,attendingly
kast,karst
saharanpur,haranguer
mapped,unmapped
wnt,wont
undrstand,understand
evrybdy,everybody
sf,surf
sicret,silcrete
fearness,farness
challenged,challenge
letters,letter
rechecking,recheck
sarkaari,sarkar
websites,webster
kirayedar,rayed
nithallapan,antithalian
ses,sess
states,state
intimated,intimate
origii,origin
survivors,survivor
deeds,deed
containing,constraining
pages,page
graphs,graph
challenging,unchallenging
kashyap,Kashyapa
commissioning,commission
operated,operate
logd,log
lawyers,lawyer
dalal,salal
khusboo,huso
hathway,hatchway
jio,jo
mohsin,myosin
akhter,yachter
saath,sagathy
nala,nabla
complainants,complainant
sawaal,sawali
sawal,sawali
arnge,carnage
biling,boiling
brib,bribe
amd,amid
tasks,tass
suo,so
motu,mou
regretting,unregretting
townhall,tonally
hamen,hame
kata,katha
aadhar,adharma
jalane,alkane
kehta,keta
jala,jalap
signatures,signature
proofs,proof
roudly,roundly
ukamla,kamala
provisnal,provisional
akela,Takelma
bulakar,bulak
sudha,sud
bhagwat,bhagavat
games,game
distrupted,undisrupted
majid,masjid
rajni,rani
connecction,connection
affdavit,affidavit
harrseing,harrowing
mistakes,mistake
couldnt,wouldnt
kalra,kala
hargobind,paraglobin
acknowledging,unacknowledging
diwan,dian
daala,dayal
sthanak,thank
mey,meny
remembering,unremembering
mahidedha,maidenhead
mixhousing,mousing
aapane,papane
vah,ah
unse,unuse
shalu,shallu
galk,gal
arroung,sarong
poochh,pooch
pernson,person
arrangements,arrangement
cctvs,Acts
childrens,childridden
una,urna
adhered,adhere
pricedures,procedure
callback,fallback
keshav,reshave
metor,meteor
parents,parent
zakir,fakir
vaibhav,vakia
patpar,pata
regar,regard
lothian,orthian
kashmeer,kasher
gpo,gapo
decades,decade
christmas,Christmas
deprived,derived
bhee,bee
eak,weak
huwa,phulwa
pakadna,padnag
bharastachar,haratch
dekar,dear
merai,mermaid
lagwaya,logway
wirings,wiring
jodkar,vodka
dusro,duro
bheekh,beek
maangkar,malanga
tunki,tunk
rehna,renal
humein,humin
humpar,hump
daya,dayal
landlords,landlord
rishabh,riksha
krishnapal,trishna
makes,make
chores,choreus
thorugh,thorough
whastap,whata
whitch,witch
agin,algin
amout,amount
programme,programmer
harnarain,herniarin
gokalchand,goatland
mobail,mobile
badwana,badan
karwre,karwar
saku,shaku
jaada,jangada
nikla,nikau
appears,appear
nbtdilli,dilli
picks,pricks
kyunki,kunk
infocement,reinforcement
inhen,linen
fatak,fatal
galoth,galuth
hra,hura
consists,consist
thk,th
likhdiya,lithia
mzhe,maze
chawari,chakari
unko,bunko
sanstion,scansion
simce,sime
khi,khir
inpar,minar
milga,mila
phle,phyle
isnt,ist
responsblity,responsibility
rrsponsble,irresponsible
ahve,Jahve
humilating,humiliating
bataye,beatae
quater,quaters
fillup,illupi
banna,banana
yu,yus
leker,lecker
aau,aa
lagwado,rasgado
reflects,reflect
immedailatly,immediately
barkat,brat
parasan,parasang
inse,rinse
noor,nor
dec,deck
lian,liwan
inspecation,inspection
hoisehold,household
signed,unsigned
diapute,dispute
gpay,pay
performed,unperformed
noticing,unnoticing
whloe,whose
maujour,major
mrs,morse
jaspreet,spret
banwane,awane
hellow,hello
exposing,posing
paul,pasul
fastest,fastness
electicity,electricity
thand,than
katta,atta
insists,insist
kaur,kauri
dismissing,dismissingly
rcvng,roving
sitara,sitar
resulted,result
mno,mono
banwaya,banya
aqeel,aweel
ahmed,ashamed
kiran,kran
varinder,varier
continuesly,continuedly
breakdowns,breakdown
urjently,urgently
esclation,scalation
esclate,escalate
pahuncha,paunch
impressed,unimpressed
hori,houri
risks,risk
shutters,shutter
awiated,radiated
ispar,spar
lagne,lane
lakh,lak
sply,splay
discontd,discount
neithr,neither
prvided,provided
msgd,mysid
provde,provide
ws,wis
immdt,immit
incharge,uncharge
lockdown,knockdown
desks,dess
organisational,organizational
dipika,pika
inaugurated,inaugurate
punjabi,Punjabi
basti,bast
pran,pyran
pratishtha,prastha
meets,meet
automated,automat
powerr,power
occassion,occasion
kilowatts,kilowatt
gaian,gain
chah,hah
repairs,repair
elecricity,electricity
billl,bill
vashundra,sundra
jaynge,jangle
lalitapark,airpark
ravinder,ravine
catgeory,category
huyi,huia
abjle,able
neighbours,neighbor
krdi,kori
pharganj,pargana
representavite,representativity
uppar,uppard
onlin,oenolin
areya,area
temprature,temperature
chapa,chapah
jimmedari,immerit
deri,dheri
nahar,navar
mach,match
delhites,adelite
lagate,plagate
aara,afara
padchim,apachism
movements,movement
involving,unrevolving
hazards,hazard
ranjit,Ranjit
maintanence,maintenance
bhajan,bajan
baari,bari
abaj,aba
dekr,decker
saira,sair
bano,beano
tanish,tarnish
incl,tincal
peeke,peek
baitha,baith
huts,hut
gharoli,paroli
jublee,jubilee
chwok,hawok
anoop,noop
nitin,unition
dialled,diallel
texting,testing
remembered,unremembered
dairydelhi,didelphid
prshant,shant
babita,barbital
rajkumar,trauma
iinto,into
dicontinue,discontinue
campaigns,campaign
giasuddin,gliadin
mansoor,manso
karimuddin,ridding
prosess,prosiness
imejetlly,meetly
lightl,lightly
jakhira,khirka
anar,ansar
kinari,kintar
biker,bilker
jamshed,campshed
alam,alarm
seals,seal
poorservice,overservice
karane,karate
illigally,illegally
norms,norm
argued,argue
bsesyamunapowerlimited,unpermitted
icard,Picard
triveni,thriven
unnecearrily,unnecessarily
greasing,grassing
palms,palmus
abi,mabi
sirs,siris
sreshth,reshut
annexed,unannexed
shocks,shock
sparkes,sparks
blasts,blast
sreshthanand,siestaland
sachinguptaup,snatching
reads,read
disconnet,disconnect
kwnpc,kwan
violating,violation
urving,unroving
theyclaim,thecla
onlistening,unlistening
farida,farina
wasim,aswim
dharamshala,dharmsala
infmd,informed
formlty,formality
rejec,reject
evng,vang
listens,listen
flaws,flaw
joharipur,jodhpurs
extnshahdara,bethabara
pedestrians,pedestrian
dhamaka,dharmakaya
jawaab,jawab
dsy,sudsy
dilayo,dilo
pettion,petition
disconnetion,disconnection
elecritcity,electricity
mohmaad,moha
aznaan,Danaan
garvit,grit
lagyi,langi
sbs,scobs
prahlad,pholad
needfly,needly
revart,revert
humongous,humorous
sunvayi,unvain
diconnection,disconnection
lifts,lift
multistotey,multistory
motiakhan,tarkhan
byp,by
lacks,lack
ekbaar,baar
kondali,koali
attempting,unattempting
results,result
voilation,volation
harasment,harassment
bsese,sense
flithy,lithy
lines,line
hindi,hind
sambhandh,samadh
generations,generation
resealed,revealed
parkar,parka
mama,mamma
batarahi,batara
ajmal,ramal
dijiy,dimity
khmba,shamba
girta,girt
bccha,bacchar
mugs,mug
startindex,staurotide
larger,large
buddha,buddhi
tirlokpuri,troparia
kise,kisser
durghatna,durgan
jimdar,jemadar
dhanyawad,hayward
htds,whits
khda,khanda
rasta,rata
suport,support
dangours,dangerous
lana,liana
motee,mote
jisase,misease
nisjpakshta,antispast
tatha,tath
ksren,siren
tathyon,tatchy
bekhof,behoof
bhrashtachaar,brahmachari
sunil,sunnily
screenshots,screenless
yunhi,unhit
ghuma,human
shivpuri,hippurid
saamne,sane
waali,wali
badlav,bandala
karvana,kerana
krvana,kerana
chahte,choate
btaiye,butadiyne
offs,off
remarks,remark
drdo,redo
metacafe,metaclase
kashmiri,Kashmiri
childres,childe
mishappenigs,mishappen
sombazar,sombre
ito,nito
reten,retent
yamana,yamanai
alongwith,longish
llegal,illegal
massages,massage
mobiles,moiles
deat,derat
tangled,tangle
damki,damie
aate,alate
bhopal,opal
bzr,zer
ruining,running
jitne,jitney
trh,trah
jaou,jouk
dhang,dhan
jaise,waise
leater,pleater
samsya,saya
donon,donjon
galiyan,regalian
onstalled,unstalled
voilated,monilated
guidelines,guideline
nizamuddin,nizamut
investigatimg,investigating
takong,taking
connecrion,connection
basment,basement
plis,polis
hon,thon
ble,bole
connectionhas,connectional
cgrf,corf
myvthis,mythist
corription,corruption
gmail,mail
dmrc,marc
malafide,malaise
arjent,arent
rajendr,Rajendra
pv,v
chahie,chaise
temparay,templary
esme,eme
bhe,he
nathu,snath
gadi,gadid
batayi,bantay
jabtak,nabak
karwayi,karwar
bachho,baho
aab,haab
sindhipark,dispark
oldrajindernagar,Volkerwanderung
avoids,avoid
builders,builder
instances,instance
jabi,jabia
walon,walloon
dhundh,hunh
kahin,kachin
padegi,pardesi
cmdelhikejriwal,delthyrial
palour,palouser
saftey,shafty
transformers,transformer
narrated,narrate
brpl,burp
tarlok,tarok
vashisht,hashish
prabhakar,abkar
constructing,construction
discounted,undiscounted
ritu,rit
karawalnagar,aracanga
coincides,coincide
prayers,prayer
khichdipur,chichipe
girdhar,jagirdar
harash,harsh
yiur,yurt
max,maux
metering,entering
behaind,behind
ritz,ritzy
ledis,lewis
videocon,video
jisne,visne
lajwab,nawab
netmetering,unlettering
electricirty,electricity
avoiding,voiding
floo,floor
connecyion,connection
shakkar,shikar
rcc,reccy
qutab,quab
bajar,baar
nomber,omber
jansuvidh,jassid
harrased,arrased
bites,bite
metr,metra
normalised,normalize
lpsc,slops
taylor,tailor
corruotion,corruption
bprevent,prevent
mata,matta
dikh,disk
chhote,choate
lagakar,laggar
deus,decus
dtptraffic,traffic
closing,losing
resolutions,resolution
anu,anus
wishes,wishness
kodia,koda
omex,tome
berricade,barricade
safty,shafty
disterbing,disturbing
mahesh,mathes
emp,temp
reconnected,reconnect
minds,mind
playstr,plaster
scheduling,schelling
cybercrime,becrime
lska,polska
thnaks,thanks
resime,retime
boys,boy
pire,spire
arctet,artlet
electricitiy,electricity
kebal,ketal
complainon,complain
kirpa,skirp
politicians,politician
beja,bejan
bolkar,bolar
lau,laur
described,describe
fedup,feu
objected,unobjected
pathanpura,Ephthianura
chajjupur,cajuput
powecut,precut
sarita,tsaritza
aari,ajari
rhae,rhe
mari,marli
saza,saa
mujko,moujik
sunvai,unvain
ineh,wine
dusare,usar
wazirabad,waird
taron,tarpon
khakar,kakar
bsesbypl,besplit
basei,base
screensort,screenwork
thoda,today
jhukab,jutka
susbcidy,subacidly
kardeti,kadein
badmash,budmash
chup,chump
kpgbjp,kapp
drharshvardhan,Harvardian
sabolil,aboil
demend,emend
inspected,insected
videography,ideography
gives,give
pahadganj,pagan
ndtv,mandative
chupane,uplane
barat,brat
akar,takar
mehfil,meril
markey,markedly
chalan,chalana
ghumakar,guaka
grahakon,rhason
bevkuf,bevue
tranformer,transformer
deptt,depth
volte,volute
pakka,yakka
mushkil,mushily
jago,jag
eid,Seid
branches,branchless
tadap,dadap
dhamkane,daman
koshish,shish
aakhe,awake
rahung,rehung
manufacturing,premanufacturing
donw,dow
pareshaniyan,parthenian
adhikariyon,dikaryon
lbd,lobed
kalyanvas,galanas
upbhoktaon,photon
janm,jam
sidha,sidth
adhikar,shikar
forgergery,forgery
tweeting,teeting
pwer,power
ghumane,humane
deni,denim
hera,herma
feri,ferri
machayi,machi
niklta,nokta
dhamki,hami
bhejo,subhero
couldn,could
committing,uncommitting
lalit,alit
pratik,rastik
saindu,sind
bhugtan,bugan
coustmer,coustumier
anjaan,anjan
vinti,vint
pachta,pachak
mausam,masa
pankhe,pank
adhe,sadhe
chalaya,chalaza
jaata,jagrata
billi,bill
phoned,phone
deepak,depark
kant,kanat
haider,hider
elections,election
bricks,brick
gargi,argil
chokha,chouka
loght,owght
connects,connect
tayyab,tayra
ecs,es
queries,querist
schemes,scheme
choti,hoti
kerwana,kerana
lagti,langi
elecrtricity,electricity
behcoof,behoof
banatay,bantay
gantay,ganta
challenges,challenge
bajrang,bajra
nanhey,nane
uttam,gutta
dwarka,wark
threads,thread
surinder,sunder
aaid,apaid
hatata,chatta
recive,receive
jumped,jumpseed
sangatrashan,Langshan
taklif,tali
natak,nataka
reponse,response
reuploading,roading
offers,offer
tricks,tricksy
ts,tst
padam,popadam
mintues,minus
vya,ya
releases,release
releasing,unreleasing
disconnects,disconnect
thetotal,teetotal
oflast,oast
thebill,henbill
havesent,havent
gharon,Sharon
faltu,fault
bhavishya,chavish
apriya,aporia
ghatna,whatna
ske,soke
mohammadi,muhammadi
offered,goffered
labrotary,rotary
ramu,ramus
laat,lat
inclining,uninclining
indl,indyl
dishonesty,dishonestly
mannual,manual
undergarments,undergarment
samaan,saman
andr,and
encrochment,encroachment
trha,tra
sharif,sarif
rizvi,trivia
chawla,chawl
sachdeva,sheva
ngar,nar
writern,writer
degrees,degree
arrenge,arrange
presnol,resinol
outag,outage
satya,saya
meena,melena
isvsachin,isosaccharin
aadarsh,dash
protected,unprotected
addres,addrest
kasana,asana
krege,regle
raazi,razzia
resolv,resolve
registrered,registered
hang,whang
impersonating,impersonation
jitar,titar
aunty,vaunty
markr,marker
sadi,sadic
zinda,pinda
ple,pule
vicule,vesicule
allerdy,gallery
registerd,registered
nr,nor
varunvihar,varnisher
feet,freet
kinldy,kinkly
bagal,baga
nigam,nizam
parshad,pasha
rul,rull
drma,drama
celebrating,uncelebrating
puting,pouting
delhiites,delphinite
eraning,ranting
som,swom
garh,garth
jaghran,arghan
veryy,very
aftter,atter
kardia,cardia
pese,peste
kathputli,kaput
isbt,ist
andher,zander
choupat,choup
pergpa,pega
kanwar,karwar
rhie,rhine
exess,excess
telecom,telecode
akad,aka
utar,untar
jaaygi,jagir
shafiq,ashrafi
jaayr,jay
shakar,shikar
shivam,siva
staircases,staircase
spaces,space
silve,silver
hme,home
british,brightish
relations,relation
shaheed,sheathed
rajguru,crajuru
abhimanyu,labiomancy
audama,adamas
chaturvedi,hatred
qhy,why
bsesyamunavihar,semuncia
